,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Colorado
5,Connecticut
6,Delaware
7,Florida
8,Georgia
9,Idaho
10,Illinois
11,Indiana
12,Iowa
13,Kansas
14,Kentucky
15,Louisiana
16,Maine
17,Maryland
18,Massachusetts
19,Michigan
20,Minnesota
21,Mississippi
22,Missouri
23,Montana
24,Nebraska
25,Nevada
26,New Hampshire
27,New Jersey
28,New Mexico
29,New York
30,North Carolina
31,North Dakota
32,Oregon
33,Pennsylvania
34,Rhode Island
35,South Carolina
36,South Dakota
37,Tennessee
38,Texas
39,Utah
40,Vermont
41,West Virginia
42,Wisconsin
43,Wyoming
